"Interest","Inflation","InflationChange","InterestChange"
5.5,3.7,-0.3,-0.25
5.25,3.4,0.2,0.25
5.5,3.6,0.3,0.94
6.44,3.9,0.7,0.56
7,4.6,0.5,0.38
7.38,5.1,0.4,0.5
7.88,5.5,0.5,0.56
8.44,6,-0.3,0.440000000000001
8.88,5.7,1.7,-0.140000000000001
8.74,7.4,0,2.48
11.22,7.4,0.399999999999999,-0.32
10.9,7.8,0.500000000000001,-1.02
9.88,8.3,0.399999999999999,0.459999999999999
10.34,8.7,0.700000000000001,-0.51
9.83,9.4,0.6,-0.52
9.31,10,0.4,-0.34
8.97,10.4,-0.300000000000001,1.04
10.01,10.1,0.6,0.56
10.57,10.7,0.200000000000001,1.07
11.64,10.9,0.6,2.69
14.33,11.5,-0.6,-2.08
12.25,10.9,1,-0.65
11.6,11.9,0.199999999999999,-0.299999999999999
11.3,12.1,0.0999999999999996,-1.65
9.65,12.2,0.100000000000001,-0.18
9.47,12.3,-0.5,-5.6
3.87,11.8,-0.600000000000001,2.89
6.76,11.2,-0.899999999999999,-0.69
6.07,10.3,-0.100000000000001,-0.59
5.48,10.2,-0.699999999999999,0.0699999999999994
5.55,9.5,-0.0999999999999996,-0.319999999999999
5.23,9.4,0.299999999999999,0.89
6.12,9.7,-1.1,0.12
6.24,8.6,-0.699999999999999,-0.11
6.13,7.9,-0.5,0.11
6.24,7.4,0,-0.59
5.65,7.4,-0.5,-0.340000000000001
5.31,6.9,-0.2,0.0600000000000005
5.37,6.7,-0.4,-0.53
4.84,6.3,-0.2,0.37
5.21,6.1,-0.0999999999999996,-0.38
4.83,6,0.2,0.27
5.1,6.2,-0.2,0.48
5.58,6,-0.6,0
5.58,5.4,0.3,-0.26
5.32,5.7,-0.2,-0.0700000000000003
5.25,5.5,0,0.0700000000000003
5.32,5.5,-0.6,-0.28
5.04,4.9,0,-0.37
4.67,4.9,0.3,-0.5
4.17,5.2,0.7,0.41
4.58,5.9,0.5,0.12
4.7,6.4,0.6,0.0199999999999996
4.72,7,-0.3,0.4
5.12,6.7,0.2,0.12
5.24,6.9,-0.100000000000001,0.12
5.36,6.8,-0.2,0.48
5.84,6.6,0,0.22
6.06,6.6,-0.199999999999999,0.4
6.46,6.4,0.3,0.19
6.65,6.7,0,-0.130000000000001
6.52,6.7,0.0999999999999996,0.0100000000000007
6.53,6.8,-0.399999999999999,0.649999999999999
7.18,6.4,0.199999999999999,-0.319999999999999
6.86,6.6,-0.0999999999999996,0.109999999999999
6.97,6.5,0.5,0.3
7.27,7,0.4,0.210000000000001
7.48,7.4,0.3,0.529999999999999
8.01,7.7,0.0999999999999996,-0.04
7.97,7.8,0.500000000000001,0.36
8.33,8.3,0.6,0.57
8.9,8.9,0,0.969999999999999
9.87,8.9,0.0999999999999996,0.0800000000000001
9.95,9,0.300000000000001,0.890000000000001
10.84,9.3,0.6,-0.789999999999999
10.05,9.9,0.199999999999999,0
10.05,10.1,0.4,0.0199999999999996
10.07,10.5,0.4,0.31
10.38,10.9,0,-0.140000000000001
10.24,10.9,0.4,0.299999999999999
10.54,11.3,0.5,0.210000000000001
10.75,11.8,0.399999999999999,0.539999999999999
11.29,12.2,-0.0999999999999996,0.770000000000001
12.06,12.1,0.5,3.2
15.26,12.6,0.700000000000001,-1.3
13.96,13.3,0.6,0.809999999999999
14.77,13.9,0.299999999999999,-1.33
13.44,14.2,0.600000000000001,2.89
16.33,14.8,-0.100000000000001,3.46
19.79,14.7,-0.299999999999999,-5.72
14.07,14.4,0,-3.01
11.06,14.4,-1.3,-1.59
9.47,13.1,-0.199999999999999,1.01
10.48,12.9,-0.300000000000001,0.26
10.74,12.6,0.200000000000001,2.31
13.05,12.8,-0.200000000000001,0.719999999999999
13.77,12.6,-0.0999999999999996,3.94
17.71,12.5,-0.699999999999999,4.29
22,11.8,-0.4,-4.75
17.25,11.4,-0.9,-1.72
15.53,10.5,-0.5,-1.02
14.51,10,-0.199999999999999,5.28
19.79,9.8,-0.200000000000001,-0.779999999999998
19.01,9.6,1.2,2.08
